     istep       time        |phi|^2       |apar|^2       |bpar|^2
      7500   7.5000E+001   2.9829E+006   0.0000E+000   0.0000E+000
      7520   7.5200E+001   3.1230E+006   0.0000E+000   0.0000E+000
      7540   7.5400E+001   3.2696E+006   0.0000E+000   0.0000E+000
      7560   7.5600E+001   3.4232E+006   0.0000E+000   0.0000E+000
      7580   7.5800E+001   3.5839E+006   0.0000E+000   0.0000E+000
      7600   7.6000E+001   3.7522E+006   0.0000E+000   0.0000E+000
      7620   7.6200E+001   3.9283E+006   0.0000E+000   0.0000E+000
      7640   7.6400E+001   4.1128E+006   0.0000E+000   0.0000E+000
      7660   7.6600E+001   4.3059E+006   0.0000E+000   0.0000E+000
      7680   7.6800E+001   4.5081E+006   0.0000E+000   0.0000E+000
      7700   7.7000E+001   4.7197E+006   0.0000E+000   0.0000E+000
